2025-06-20 12:51:36 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 12:51:36 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:51:36 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:51:36 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:51:36 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:51:36 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:51:36 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:51:36 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:51:36 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:51:36 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 1 models
